,,,Overall,Overall,Overall,Conference,Conference,Conference,Points Per Game,Points Per Game,SRS,SRS,Polls,Polls,Polls,
Rk,School,Conf,W,L,Pct,W,L,Pct,Off,Def,SRS,SOS,AP Curr,AP Pre,AP High,Notes
1,Wake Forest,ACC (Atlantic),3,0,1.000,1,0,1.000,39.3,13.3,12.87,-10.14,,,,
2,Clemson,ACC (Atlantic),2,1,.667,1,0,1.000,22.0,7.0,14.14,6.14,9,3,3,
3,Florida State,ACC (Atlantic),0,3,.000,0,1,.000,23.0,32.0,-11.27,0.40,,,,
4,Boston College,ACC (Atlantic),3,0,1.000,0,0,,41.3,10.3,12.02,-9.65,,,,
5,Louisville,ACC (Atlantic),2,1,.667,0,0,,32.0,27.0,8.18,4.18,,,,
6,North Carolina State,ACC (Atlantic),2,1,.667,0,0,,33.3,10.3,8.34,-2.99,,,,
7,Syracuse,ACC (Atlantic),2,1,.667,0,0,,32.7,16.7,3.05,-8.28,,,,
8,Virginia Tech,ACC (Coastal),2,1,.667,1,0,1.000,24.3,17.0,20.95,13.95,,,15,
9,North Carolina,ACC (Coastal),2,1,.667,1,1,.500,42.7,24.3,25.02,12.68,21,10,10,
10,Virginia,ACC (Coastal),2,1,.667,0,1,.000,41.3,24.3,14.09,4.76,,,,
11,Georgia Tech,ACC (Coastal),1,2,.333,0,1,.000,24.7,17.7,4.74,1.40,,,,
12,Duke,ACC (Coastal),2,1,.667,0,0,,34.3,23.7,4.10,-3.90,,,,
13,Pitt,ACC (Coastal),2,1,.667,0,0,,44.3,28.3,12.02,4.02,,,,
14,Miami (FL),ACC (Coastal),1,2,.333,0,0,,18.3,35.0,1.56,14.23,,14,14,
15,Cincinnati,American (East),3,0,1.000,0,0,,43.0,15.0,17.28,-3.39,8,8,7,
16,UCF,American (East),2,1,.667,0,0,,44.7,29.0,6.71,-1.29,,,,
17,East Carolina,American (East),1,2,.333,0,0,,26.0,30.3,0.22,4.89,,,,
18,South Florida,American (East),1,2,.333,0,0,,19.3,34.7,-4.13,4.20,,,,
19,Temple,American (East),1,2,.333,0,0,,20.7,37.7,-3.84,5.16,,,,
20,Memphis,American (West),3,0,1.000,0,0,,42.7,32.0,9.19,-3.48,,,,
21,SMU,American (West),3,0,1.000,0,0,,43.3,19.3,10.98,-7.03,,,,
22,Houston,American (West),2,1,.667,0,0,,36.7,15.0,3.31,-7.02,,,,
23,Tulane,American (West),1,2,.333,0,0,,41.7,40.3,3.39,5.72,,,,
24,Navy,American (West),0,2,.000,0,0,,5.0,36.0,-20.40,1.60,,,,
25,Tulsa,American (West),0,3,.000,0,0,,20.0,29.3,-12.18,-0.52,,,,
26,Baylor,Big 12,3,0,1.000,1,0,1.000,46.7,11.3,6.35,-12.65,,,,
27,Kansas,Big 12,1,2,.333,0,1,.000,15.3,36.0,-14.02,-0.36,,,,
28,Kansas State,Big 12,3,0,1.000,0,0,,31.0,15.7,13.16,-2.17,25,,25,
29,Oklahoma,Big 12,3,0,1.000,0,0,,46.3,17.0,11.32,-1.34,4,2,2,
30,Oklahoma State,Big 12,3,0,1.000,0,0,,24.0,19.7,-1.08,-8.08,,,,
31,Texas Christian,Big 12,2,0,1.000,0,0,,39.5,17.5,6.31,-9.19,,,,
32,Texas Tech,Big 12,3,0,1.000,0,0,,40.0,21.3,9.65,-6.35,,,,
33,Iowa State,Big 12,2,1,.667,0,0,,27.0,13.3,1.16,-5.84,14,7,7,
34,Texas,Big 12,2,1,.667,0,0,,39.0,19.3,5.34,-2.99,,21,15,
35,West Virginia,Big 12,2,1,.667,0,0,,39.0,17.0,14.54,6.54,,,,
36,Maryland,Big Ten (East),3,0,1.000,1,0,1.000,37.3,13.7,13.93,1.26,,,,
37,Michigan State,Big Ten (East),3,0,1.000,1,0,1.000,39.3,17.3,15.97,-4.70,20,,20,
38,Penn State,Big Ten (East),3,0,1.000,1,0,1.000,29.3,14.3,20.37,7.37,6,19,6,
39,Ohio State,Big Ten (East),2,1,.667,1,0,1.000,38.0,28.7,14.79,5.46,10,4,3,
40,Indiana,Big Ten (East),1,2,.333,0,1,.000,28.7,28.7,2.72,7.39,,17,17,
41,Michigan,Big Ten (East),3,0,1.000,0,0,,47.0,11.3,28.85,5.85,19,,19,
42,Rutgers,Big Ten (East),3,0,1.000,0,0,,41.0,11.3,13.98,-5.35,,,,
43,Iowa,Big Ten (West),3,0,1.000,1,0,1.000,30.3,10.0,20.14,1.14,5,18,5,
44,Illinois,Big Ten (West),1,3,.250,1,1,.500,22.8,30.3,4.51,12.01,,,,
45,Minnesota,Big Ten (West),2,1,.667,0,1,.000,30.7,23.7,12.13,6.46,,,,
46,Nebraska,Big Ten (West),2,2,.500,0,1,.000,29.5,15.8,7.85,-0.41,,,,
47,Wisconsin,Big Ten (West),1,1,.500,0,1,.000,22.0,11.5,19.40,10.90,18,12,12,
48,Northwestern,Big Ten (West),1,2,.333,0,1,.000,22.7,24.7,-0.40,1.60,,,,
49,Purdue,Big Ten (West),2,1,.667,0,0,,30.7,16.0,3.59,-2.75,,,,
50,Middle Tennessee State,CUSA (East),1,2,.333,0,1,.000,25.7,25.7,2.29,5.96,,,,
51,Charlotte,CUSA (East),2,1,.667,0,0,,26.0,19.3,3.95,-2.72,,,,
52,Florida Atlantic,CUSA (East),2,1,.667,0,0,,32.3,18.3,6.44,-2.56,,,,
53,Marshall,CUSA (East),2,2,.500,0,0,,40.3,22.5,1.25,-7.25,,,,
54,Western Kentucky,CUSA (East),1,1,.500,0,0,,47.0,29.5,9.40,0.90,,,,
55,Florida International,CUSA (East),1,2,.333,0,0,,28.7,29.0,-7.09,-4.76,,,,
56,Old Dominion,CUSA (East),1,2,.333,0,0,,24.7,31.3,-3.88,4.13,,,,
57,UTSA,CUSA (West),3,0,1.000,1,0,1.000,39.3,14.3,12.18,-2.82,,,,
58,UAB,CUSA (West),2,1,.667,1,0,1.000,26.0,20.7,10.72,2.72,,,,
59,North Texas,CUSA (West),1,2,.333,0,1,.000,20.7,29.7,-5.52,2.14,,,,
60,UTEP,CUSA (West),2,1,.667,0,0,,27.0,28.3,-6.03,-9.36,,,,
61,Louisiana Tech,CUSA (West),1,2,.333,0,0,,38.7,38.7,-0.29,2.04,,,,
62,Southern Mississippi,CUSA (West),1,2,.333,0,0,,17.7,17.3,-5.17,-1.17,,,,
63,Rice,CUSA (West),0,3,.000,0,0,,8.0,46.7,-15.45,7.55,,,,
64,Notre Dame,Ind,3,0,1.000,1,0,1.000,33.3,26.7,3.60,-5.74,12,9,8,
65,Connecticut,Ind,0,4,.000,0,1,.000,12.3,46.0,-16.21,4.29,,,,
66,Liberty,Ind,3,0,1.000,0,0,,38.0,12.3,14.77,-3.90,,,,
67,New Mexico State,Ind,1,3,.250,0,0,,20.3,31.8,-16.01,-5.26,,,,
68,Massachusetts,Ind,0,3,.000,0,0,,21.0,46.0,-9.84,8.49,,,,
69,Army,Ind,3,0,1.000,1,0,1.000,44.3,22.0,17.07,-1.26,,,,
70,BYU,Ind,3,0,1.000,0,0,,25.7,16.7,5.38,-3.62,15,,15,
71,Akron,MAC (East),1,2,.333,0,0,,23.0,39.7,-10.53,-2.53,,,,
72,Bowling Green State,MAC (East),1,2,.333,0,0,,17.3,23.3,-4.64,0.03,,,,
73,Buffalo,MAC (East),1,2,.333,0,0,,32.3,21.0,-2.19,0.14,,,,
74,Kent State,MAC (East),1,2,.333,0,0,,25.7,27.0,-0.46,7.21,,,,
75,Miami (OH),MAC (East),1,2,.333,0,0,,27.3,29.0,2.38,4.72,,,,
76,Ohio,MAC (East),0,3,.000,0,0,,16.3,35.3,-23.57,-6.57,,,,
77,Eastern Michigan,MAC (West),2,1,.667,0,0,,28.0,25.7,1.43,-1.90,,,,
78,Western Michigan,MAC (West),2,1,.667,0,0,,28.7,29.3,10.87,8.54,,,,
79,Ball State,MAC (West),1,2,.333,0,0,,18.7,36.7,-8.83,3.84,,,,
80,Central Michigan,MAC (West),1,2,.333,0,0,,30.0,27.7,-3.41,-0.07,,,,
81,Northern Illinois,MAC (West),1,2,.333,0,0,,25.0,44.7,5.33,13.33,,,,
82,Toledo,MAC (West),1,2,.333,0,0,,28.0,21.3,-9.53,-9.87,,,,
83,Utah State,MWC (Mountain),3,0,1.000,1,0,1.000,41.0,30.7,7.52,-5.15,,,,
84,Air Force,MWC (Mountain),2,1,.667,0,1,.000,34.3,22.0,1.95,-9.38,,,,
85,Wyoming,MWC (Mountain),3,0,1.000,0,0,,38.0,23.7,6.41,-6.25,,,,
86,New Mexico,MWC (Mountain),2,1,.667,0,0,,20.3,25.3,-6.51,-4.84,,,,
87,Boise State,MWC (Mountain),1,2,.333,0,0,,35.0,23.3,3.20,-0.13,,,,
88,Colorado State,MWC (Mountain),1,2,.333,0,0,,22.0,24.0,-17.94,-14.60,,,,
89,San Jose State,MWC (West),2,1,.667,1,0,1.000,23.0,19.0,-1.05,-3.71,,,,
90,Hawaii,MWC (West),1,3,.250,0,1,.000,24.8,35.3,-8.20,0.55,,,,
91,San Diego State,MWC (West),3,0,1.000,0,0,,33.0,18.3,6.74,-9.59,,,,
92,Fresno State,MWC (West),3,1,.750,0,0,,43.0,19.5,11.77,-0.23,22,,22,
93,Nevada,MWC (West),2,1,.667,0,0,,29.3,21.7,1.59,-1.74,,,,
94,Nevada-Las Vegas,MWC (West),0,3,.000,0,0,,15.3,40.0,-22.40,-4.06,,,,
95,Stanford,Pac-12 (North),2,1,.667,1,0,1.000,30.0,25.0,7.16,2.16,,,,
96,Washington State,Pac-12 (North),1,2,.333,0,1,.000,27.0,31.7,-2.14,1.53,,,,
97,Oregon,Pac-12 (North),3,0,1.000,0,0,,38.0,19.7,16.44,3.77,3,11,3,
98,Oregon State,Pac-12 (North),2,1,.667,0,0,,36.0,19.0,4.38,-6.63,,,,
99,California,Pac-12 (North),1,2,.333,0,0,,30.3,28.7,-3.12,-2.45,,,,
100,Washington,Pac-12 (North),1,2,.333,0,0,,23.0,15.7,1.34,2.67,,20,20,
101,USC,Pac-12 (South),2,1,.667,1,1,.500,34.3,21.0,12.32,1.32,,15,14,
102,Arizona State,Pac-12 (South),2,1,.667,0,0,,31.7,17.0,1.91,-10.76,,25,19,
103,UCLA,Pac-12 (South),2,1,.667,0,0,,39.7,25.7,14.13,4.80,24,,13,
104,Colorado,Pac-12 (South),1,2,.333,0,0,,14.0,15.7,2.20,4.54,,,,
105,Utah,Pac-12 (South),1,2,.333,0,0,,29.3,25.3,1.29,-1.04,,24,21,
106,Arizona,Pac-12 (South),0,3,.000,0,0,,16.3,27.7,-14.04,-1.04,,,,
107,Georgia,SEC (East),3,0,1.000,1,0,1.000,35.3,7.7,28.94,10.61,2,5,2,
108,Kentucky,SEC (East),3,0,1.000,1,0,1.000,36.0,20.3,4.33,-8.34,,,,
109,Florida,SEC (East),2,1,.667,0,1,.000,35.3,21.7,19.53,7.53,11,13,11,
110,Missouri,SEC (East),2,1,.667,0,1,.000,40.3,29.0,4.22,-4.78,,,,
111,South Carolina,SEC (East),2,1,.667,0,1,.000,26.3,19.0,6.97,4.63,,,,
112,Tennessee,SEC (East),2,1,.667,0,7,.000,42.7,15.7,11.04,-2.63,,,,
113,Vanderbilt,SEC (East),1,2,.333,0,0,,16.7,28.3,-19.01,-8.68,,,,
114,Alabama,SEC (West),3,0,1.000,1,0,1.000,41.0,18.7,20.28,1.94,1,1,1,
