Rk,Wk,Date,Time,Day,Winner,Pts,,Loser,Pts,Notes
1,1,Aug 28 2021,2:00 PM,Sat,Fresno State,45,,Connecticut,0,
2,1,Aug 28 2021,1:20 PM,Sat,Illinois,30,,Nebraska,22,
3,1,Aug 28 2021,10:00 PM,Sat,San Jose State,45,,Southern Utah,14,
4,1,Aug 28 2021,9:30 PM,Sat,Texas-El Paso,30,@,New Mexico State,3,
5,1,Aug 28 2021,3:30 PM,Sat,UCLA,44,,Hawaii,10,
6,2,Sep 1 2021,7:30 PM,Wed,Alabama-Birmingham,31,N,Jacksonville State,0,Cramton Bowl - Montgomery Alabama
7,2,Sep 2 2021,7:30 PM,Thu,Appalachian State,33,N,East Carolina,19,Bank of America Stadium - Charlotte North Carolina
8,2,Sep 2 2021,10:30 PM,Thu,(25) Arizona State,41,,Southern Utah,14,
9,2,Sep 2 2021,7:00 PM,Thu,Ball State,31,,Western Illinois,21,
10,2,Sep 2 2021,7:00 PM,Thu,Buffalo,69,,Wagner,7,
11,2,Sep 2 2021,7:30 PM,Thu,California-Davis,19,@,Tulsa,17,
12,2,Sep 2 2021,7:00 PM,Thu,Central Florida,36,,Boise State,31,
13,2,Sep 2 2021,7:00 PM,Thu,(22) Coastal Carolina,52,,Citadel,14,
14,2,Sep 2 2021,10:00 PM,Thu,Eastern Washington,35,@,Nevada-Las Vegas,33,
15,2,Sep 2 2021,8:05 PM,Thu,Florida International,48,,Long Island,10,
16,2,Sep 2 2021,8:00 PM,Thu,New Mexico,27,,Houston Baptist,17,
17,2,Sep 2 2021,7:30 PM,Thu,North Carolina State,45,,South Florida,0,
18,2,Sep 2 2021,8:00 PM,Thu,(4) Ohio State,45,@,Minnesota,31,
19,2,Sep 2 2021,8:00 PM,Thu,Tennessee,38,,Bowling Green State,6,
20,2,Sep 2 2021,7:30 PM,Thu,(24) Utah,40,,Weber State,17,
21,2,Sep 2 2021,8:00 PM,Thu,Western Kentucky,59,,Tennessee-Martin,21,
22,2,Sep 3 2021,7:00 PM,Fri,Charlotte,31,,Duke,28,
23,2,Sep 3 2021,9:00 PM,Fri,Colorado,35,,Northern Colorado,7,
24,2,Sep 3 2021,7:00 PM,Fri,Eastern Michigan,35,,St. Francis (PA),15,
