,,,,Overall,Overall,SRS,SRS,SRS,Scoring,Scoring,Passing,Passing,Rushing,Rushing,Total,Total
Rk,School,Conf,AP Rank,W,L,OSRS,DSRS,SRS,Off,Def,Off,Def,Off,Def,Off,Def
1,Texas,Big 12,3,5,0,11.80,16.79,28.58,55.63,-6.43,11.60,3.67,6.33,1.79,8.56,3.08
2,Michigan,Big Ten (East),2,5,0,8.13,19.38,27.52,52.65,-9.66,11.75,5.94,6.86,1.61,8.58,3.84
3,Oklahoma,Big 12,12,5,0,8.02,15.32,23.33,64.08,-6.41,12.10,3.89,5.43,1.80,8.34,3.17
4,Washington,Pac-12,7,5,0,15.43,7.60,23.03,63.10,4.04,12.61,4.21,6.82,2.52,10.37,3.81
5,Penn State,Big Ten (East),6,5,0,10.01,12.32,22.32,59.03,-1.61,8.93,4.14,5.53,1.74,6.88,3.10
6,Alabama,SEC (West),11,4,1,5.40,16.82,22.21,51.20,-7.55,11.42,2.93,5.77,1.60,7.57,2.41
7,Miami (FL),ACC,17,4,0,8.55,12.56,21.10,56.95,-2.70,11.44,5.23,7.92,0.28,9.57,3.18
8,Ohio State,Big Ten (East),4,4,0,3.14,17.38,20.52,47.73,-6.77,10.51,3.56,5.85,1.99,8.25,2.72
9,Washington State,Pac-12,13,4,0,20.02,0.39,20.41,63.01,10.42,12.25,4.46,5.23,3.51,8.75,4.23
10,Wisconsin,Big Ten (West),,3,1,4.01,14.68,18.69,46.38,-4.26,8.52,3.99,6.04,2.63,7.10,3.45
11,Duke,ACC,19,4,1,3.74,13.59,17.32,48.12,-4.99,9.30,3.38,7.25,2.77,8.06,3.29
12,Notre Dame,Ind,10,5,1,6.66,10.57,17.24,54.35,-0.03,11.69,4.03,6.86,1.91,8.79,3.05
13,Texas A&M,SEC (West),,4,1,10.28,6.82,17.09,59.67,0.96,9.41,5.35,6.82,0.58,7.97,2.68
14,Oregon,Pac-12,8,5,0,3.39,13.26,16.65,63.00,-0.93,10.83,3.65,8.04,2.88,9.38,3.09
