,,,Overall,Overall,Overall,Conference,Conference,Conference,Points Per Game,Points Per Game,SRS,SRS,Polls,Polls,Polls,
Rk,School,Conf,W,L,Pct,W,L,Pct,Off,Def,SRS,SOS,AP Curr,AP Pre,AP High,Notes
1,Georgia Tech,ACC,5,0,1.000,2,0,1.000,37.0,21.2,13.13,-0.07,13,,13,
2,Miami (FL),ACC,5,0,1.000,1,0,1.000,35.0,13.6,24.50,8.30,2,10,2,
3,Virginia,ACC,5,1,.833,3,0,1.000,43.0,23.8,14.93,1.60,19,,19,
4,Duke,ACC,4,2,.667,3,0,1.000,36.5,25.5,12.17,3.34,,,,
5,SMU,ACC,3,2,.600,1,0,1.000,34.0,24.8,7.24,-0.16,,16,16,
6,Louisville,ACC,4,1,.800,1,1,.500,36.0,21.0,13.64,1.44,,,,
7,California,ACC,4,2,.667,1,1,.500,24.2,22.5,-0.55,-3.05,,,,
8,Pitt,ACC,3,2,.600,1,1,.500,41.0,19.6,7.61,-3.99,,,,
9,Stanford,ACC,2,3,.400,1,1,.500,20.6,29.4,-5.32,2.28,,,,
10,Virginia Tech,ACC,2,4,.333,1,1,.500,23.5,28.3,0.58,5.91,,,,
11,North Carolina State,ACC,4,2,.667,1,2,.333,33.8,25.0,8.48,3.65,,,,
12,Wake Forest,ACC,3,2,.600,1,2,.333,27.0,21.2,4.34,0.14,,,,
13,Syracuse,ACC,3,3,.500,1,2,.333,29.0,29.8,1.63,3.63,,,,
14,Clemson,ACC,2,3,.400,1,2,.333,23.4,20.2,5.36,3.76,,4,4,
15,Florida State,ACC,3,2,.600,0,2,.000,46.8,20.8,16.58,7.18,25,,7,
16,North Carolina,ACC,2,3,.400,0,1,.000,18.8,25.8,-9.74,-3.54,,,,
17,Boston College,ACC,1,4,.200,0,3,.000,31.4,31.6,-7.14,-2.34,,,,
18,Memphis,American,6,0,1.000,2,0,1.000,40.5,16.2,15.93,-4.41,23,,23,
19,Navy,American,5,0,1.000,3,0,1.000,37.4,19.6,4.97,-9.44,,,,
20,North Texas,American,5,0,1.000,1,0,1.000,44.8,20.0,9.32,-5.89,,,,
21,South Florida,American,4,1,.800,1,0,1.000,36.2,22.4,10.53,-0.47,24,,18,
22,Tulane,American,4,1,.800,1,0,1.000,26.2,24.0,10.04,4.64,,,,
23,East Carolina,American,3,2,.600,1,0,1.000,30.4,13.4,7.62,-0.78,,,,
24,Temple,American,3,2,.600,1,0,1.000,30.2,25.0,1.26,-0.75,,,,
25,Florida Atlantic,American,2,3,.400,1,1,.500,28.8,33.4,-7.64,-2.24,,,,
26,Rice,American,3,3,.500,1,2,.333,20.5,21.5,-6.77,-6.77,,,,
27,Army,American,2,3,.400,1,2,.333,25.2,27.4,-4.48,-2.28,,,,
28,UAB,American,2,3,.400,0,2,.000,28.8,39.0,-10.38,-2.58,,,,
29,UTSA,American,2,3,.400,0,1,.000,29.2,29.6,-0.63,-0.43,,,,
30,Tulsa,American,2,4,.333,0,3,.000,18.7,26.3,-6.41,-0.41,,,,
31,Charlotte,American,1,4,.200,0,2,.000,19.8,34.2,-20.09,-6.49,,,,
32,Arizona State,Big 12,4,1,.800,2,0,1.000,29.2,21.2,11.68,2.68,21,11,11,
33,Cincinnati,Big 12,4,1,.800,2,0,1.000,39.2,20.8,11.82,2.62,,,,
34,Arizona,Big 12,4,1,.800,1,1,.500,33.2,15.6,7.02,-3.98,,,,
35,Houston,Big 12,4,1,.800,1,1,.500,27.2,17.6,8.16,-1.24,,,,
36,Utah,Big 12,4,1,.800,1,1,.500,39.0,14.6,12.01,-2.39,,,16,
37,UCF,Big 12,3,2,.600,0,2,.000,31.8,17.4,2.62,-4.18,,,,
38,Colorado,Big 12,2,4,.333,0,3,.000,25.0,24.8,6.46,6.96,,,,
39,BYU,Big 12,5,0,1.000,2,0,1.000,38.4,12.2,15.88,-2.12,18,,18,
40,Texas Tech,Big 12,5,0,1.000,2,0,1.000,48.6,11.2,21.13,-2.87,9,23,9,
41,Iowa State,Big 12,5,1,.833,2,1,.667,31.3,18.2,11.24,0.90,22,22,12,
42,Baylor,Big 12,4,2,.667,2,1,.667,36.3,29.7,7.00,1.16,,,,
43,Kansas,Big 12,4,2,.667,2,1,.667,35.0,20.5,11.78,1.61,,,,
44,Texas Christian,Big 12,4,1,.800,1,1,.500,36.8,21.4,12.18,-0.42,,,24,
45,Kansas State,Big 12,2,4,.333,1,2,.333,27.5,26.8,-0.23,0.94,,17,17,
46,West Virginia,Big 12,2,4,.333,0,3,.000,22.3,28.5,-1.60,4.73,,,,
47,Oklahoma State,Big 12,1,4,.200,0,2,.000,16.4,36.2,-9.90,0.70,,,,
48,Indiana,Big Ten,5,0,1.000,2,0,1.000,47.8,9.6,21.93,3.53,7,20,7,
49,Ohio State,Big Ten,5,0,1.000,2,0,1.000,37.4,5.0,19.65,0.25,1,3,1,
50,Oregon,Big Ten,5,0,1.000,2,0,1.000,46.6,12.2,13.63,-6.17,3,7,2,
51,Michigan,Big Ten,4,1,.800,2,0,1.000,32.8,16.2,15.54,5.34,15,14,14,
52,Illinois,Big Ten,5,1,.833,2,1,.667,37.0,24.0,18.17,6.34,17,12,9,
53,USC,Big Ten,4,1,.800,2,1,.667,48.4,23.0,17.17,2.97,,,21,
54,Maryland,Big Ten,4,1,.800,1,1,.500,30.0,13.4,8.98,-4.82,,,,
55,Nebraska,Big Ten,4,1,.800,1,1,.500,42.4,16.2,12.72,0.92,,,,
56,Washington,Big Ten,4,1,.800,1,1,.500,39.4,19.8,10.05,-0.75,,,,
57,Iowa,Big Ten,3,2,.600,1,1,.500,29.4,15.6,9.19,0.39,,,,
